id,address,state,city,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
694,"2580 W. TAHOE AVE",CA,CARUTHERS,93609,36.53862,-119.83818,1,rooftop,2580,"W Tahoe Ave",Caruthers,CA,"Fresno County",93609,US,"Fresno County",2018,06,06019,0611614,007500,5005,5,060190075005005,"Fresno, CA",23420,metropolitan,"Fresno-Madera, CA",260,,
695,"757 W MAIN ST",CA,"EL CENTRO",92243-2921,32.792533,-115.560299,1,rooftop,757,"W Main St","El Centro",CA,"Imperial County",92243,US,"Imperial County",2018,06,06025,0621782,011600,2003,2,060250116002003,"El Centro, CA",20940,metropolitan,,,,
696,"616 MAIN STREET",CA,BRAWLEY,92227-2547,32.978323,-115.531706,1,rooftop,616,"Main St",Brawley,CA,"Imperial County",92227,US,"Imperial County",2018,06,06025,0608058,010600,2001,2,060250106002001,"El Centro, CA",20940,metropolitan,,,,
697,"380 EAST ATEN RD",CA,IMPERIAL,92251,32.829232,-115.505584,1,rooftop,380,"E Aten Rd",Imperial,CA,"Imperial County",92251,US,"Imperial County",2018,06,06025,0636280,011000,6241,6,060250110006241,"El Centro, CA",20940,metropolitan,,,,
698,"2211 W. MAIN ST.",CA,"EL CENTRO",92243,32.792621,-115.581844,1,rooftop,2211,"W Main St","El Centro",CA,"Imperial County",92243,US,"Imperial County",2018,06,06025,0621782,011801,2001,2,060250118012001,"El Centro, CA",20940,metropolitan,,,,
699,"750 PARK AVE.",CA,"EL CENTRO",92243,32.796032,-115.560379,1,range_interpolation,750,"Park Ave","El Centro",CA,"Imperial County",92243,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0621782,011500,1006,1,060250115001006,"El Centro, CA",20940,metropolitan,,,,
700,"375 SOUTH FIRST STREET",CA,"EL CENTRO",92243,32.790362,-115.543021,1,rooftop,375,"S 1st St","El Centro",CA,"Imperial County",92243,US,"Imperial County",2018,06,06025,0621782,011400,3016,3,060250114003016,"El Centro, CA",20940,metropolitan,,,,
701,"1100 NORTH 4TH ST. EL CENTRO, CA. 92243. CONTACT US: 760-337-4577",CA,"EL CENTRO",92243,32.802647,-115.553507,1,rooftop,1100,"N 4th St","El Centro",CA,"Imperial County",92243,US,"Imperial County",2018,06,06025,0621782,011400,1005,1,060250114001005,"El Centro, CA",20940,metropolitan,,,,
702,"1140 N IMPERIAL AVE",CA,"EL CENTRO",92243,32.802472,-115.570018,1,range_interpolation,1140,"N Imperial Ave","El Centro",CA,"Imperial County",92243,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0621782,011202,3000,3,060250112023000,"El Centro, CA",20940,metropolitan,,,,
703,"BUILDING 3400 B STREET, NAF EL CENTRO",CA,"EL CENTRO",92243,32.770275,-115.598602,1,place,,,"El Centro",CA,"Imperial County",92243,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0621782,011100,1172,1,060250111001172,"El Centro, CA",20940,metropolitan,,,,
704,"3400 B ST",CA,"EL CENTRO",92243,32.770275,-115.598602,0.33,place,,,"El Centro",CA,"Imperial County",92243,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0621782,011100,1172,1,060250111001172,"El Centro, CA",20940,metropolitan,,,,
705,"165 S. PLAZA STREET",CA,BRAWLEY,92227,32.977669,-115.535635,1,rooftop,165,"S Plaza St",Brawley,CA,"Imperial County",92227,US,"Imperial County",2018,06,06025,0608058,010600,1011,1,060250106001011,"El Centro, CA",20940,metropolitan,,,,
706,"1455 E. MAGNOLIA ST.",CA,BRAWLEY,92227,32.984993,-115.520042,0.7,range_interpolation,1455,"Magnolia St",Brawley,CA,"Imperial County",92227,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0608058,010400,1007,1,060250104001007,"El Centro, CA",20940,metropolitan,,,,
707,"1000 ROCKWOOD AVE., 937 HEBER AVE.",CA,CALEXICO,92231,32.678257,-115.495245,1,rooftop,1000,"Rockwood Ave",Calexico,CA,"Imperial County",92231,US,"Imperial County",2018,06,06025,0609710,012100,1003,1,060250121001003,"El Centro, CA",20940,metropolitan,,,,
708,"1120 E. 7TH ST.",CA,CALEXICO,92231,32.671758,-115.482003,1,range_interpolation,1120,"E 7th St",Calexico,CA,"Imperial County",92231,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0609710,012002,1046,1,060250120021046,"El Centro, CA",20940,metropolitan,,,,
709,"280 S. FAIRFIELD DRIVE",CA,"EL CENTRO",92243,32.791701,-115.542031,1,range_interpolation,280,"S Fairfield Dr","El Centro",CA,"Imperial County",92243,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0621782,011400,3003,3,060250114003003,"El Centro, CA",20940,metropolitan,,,,
710,"375 S 1ST STREET",CA,"EL CENTRO",92243,32.790362,-115.543021,1,rooftop,375,"S 1st St","El Centro",CA,"Imperial County",92243,US,"Imperial County",2018,06,06025,0621782,011400,3016,3,060250114003016,"El Centro, CA",20940,metropolitan,,,,
711,"548 CHESTNUT AVE.",CA,HOLTVILLE,92250,32.812003,-115.373633,1,rooftop,548,"Chestnut Ave",Holtville,CA,"Imperial County",92250,US,"Imperial County",2018,06,06025,0634246,010900,6001,6,060250109006001,"El Centro, CA",20940,metropolitan,,,,
712,"230 SOUTH FAIRFIELD DRIVE",CA,"EL CENTRO",92243,32.791161,-115.542039,1,range_interpolation,230,"S Fairfield Dr","El Centro",CA,"Imperial County",92243,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0621782,011400,3003,3,060250114003003,"El Centro, CA",20940,metropolitan,,,,
713,"160 S. CHAVEZ ST.",CA,BRAWLEY,92227,33.096382,-115.280168,0.33,place,,,Brawley,CA,"Imperial County",92227,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0608058,012400,2361,2,060250124002361,"El Centro, CA",20940,metropolitan,,,,
714,"245WEST A STREET",CA,BRAWELY,92227,32.984315,-115.544566,1,range_interpolation,245,"W A St",Brawley,CA,"Imperial County",92227,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0608058,010500,3008,3,060250105003008,"El Centro, CA",20940,metropolitan,,,,
715,"1042 1/2 HEBER AVENUE",CA,HEBER,92249,32.725763,-115.529876,0.9,range_interpolation,1042,"Heber Ave",Heber,CA,"Imperial County",92249,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0633084,011300,4021,4,060250113004021,"El Centro, CA",20940,metropolitan,,,,
716,"1840 ROCKWOOD AVENUE",CA,CALEXICO,92231,32.685283,-115.495271,1,rooftop,1840,"Rockwood Ave",Calexico,CA,"Imperial County",92231,US,"Imperial County",2018,06,06025,0609710,012100,4000,4,060250121004000,"El Centro, CA",20940,metropolitan,,,,
717,"1052 HEBER AVENUE",CA,HEBER,92249,32.726971,-115.529883,1,range_interpolation,1052,"Heber Ave",Heber,CA,"Imperial County",92249,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0633084,011300,4021,4,060250113004021,"El Centro, CA",20940,metropolitan,,,,
718,"1177 1/2 NORTH 8TH STREET",CA,"EL CENTRO",92243,32.802674,-115.559739,0.9,rooftop,1177,"N 8th St","El Centro",CA,"Imperial County",92243,US,"Imperial County",2018,06,06025,0621782,011500,4003,4,060250115004003,"El Centro, CA",20940,metropolitan,,,,
719,"655 SHERIDAN STREET",CA,CALEXICO,92231,32.678036,-115.510074,1,rooftop,655,"Sheridan St",Calexico,CA,"Imperial County",92231,US,"Imperial County",2018,06,06025,0609710,012200,1039,1,060250122001039,"El Centro, CA",20940,metropolitan,,,,
720,"850 ENCINAS AVE.",CA,CALEXICO,92231,32.675937,-115.488478,0.9,range_interpolation,850,"Encinas Ave",Calexico,CA,"Imperial County",92231,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0609710,012002,1022,1,060250120021022,"El Centro, CA",20940,metropolitan,,,,
721,"506 E. FOURTH STREET",CA,CALEXICO,92231,32.66852,-115.491665,1,rooftop,506,"E 4th St",Calexico,CA,"Imperial County",92231,US,"Imperial County",2018,06,06025,0609710,012100,3013,3,060250121003013,"El Centro, CA",20940,metropolitan,,,,
722,"701 N PRESTON DR",CA,CALEXICO,92231,32.677374,-115.489155,1,range_interpolation,701,"N Preston Dr",Calexico,CA,"Imperial County",92231,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0609710,012002,1019,1,060250120021019,"El Centro, CA",20940,metropolitan,,,,
723,"1221 J STREET",CA,BRAWLEY,92227,32.974376,-115.520272,1,range_interpolation,1221,"J St",Brawley,CA,"Imperial County",92227,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0608058,010700,2004,2,060250107002004,"El Centro, CA",20940,metropolitan,,,,
724,"628 PICACHO ROAD",CA,WINTERHAVEN,92283,32.744768,-114.615717,1,range_interpolation,628,"Picacho Rd",Winterhaven,CA,"Imperial County",92283,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0686020,940000,2106,2,060259400002106,"El Centro, CA",20940,metropolitan,,,,
725,"768 HOLT AVE",CA,"EL CENTRO",92243,32.788075,-115.560694,0.9,rooftop,768,"W Holt Ave","El Centro",CA,"Imperial County",92243,US,"Imperial County",2018,06,06025,0621782,011600,2019,2,060250116002019,"El Centro, CA",20940,metropolitan,,,,
726,"937 HEBER AVE",CA,CALEXICO,92231,32.676375,-115.493661,1,range_interpolation,937,"Heber Ave",Calexico,CA,"Imperial County",92231,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0609710,012100,2002,2,060250121002002,"El Centro, CA",20940,metropolitan,,,,
727,"1660 SMOKETREE DRIVE",CA,"EL CENTRO",92243,32.775844,-115.572998,1,rooftop,1660,"Smoketree Dr","El Centro",CA,"Imperial County",92243,US,"Imperial County",2018,06,06025,0621782,011802,2005,2,060250118022005,"El Centro, CA",20940,metropolitan,,,,
728,"949 N. 8TH STREET, 949 N. 8TH STREET",CA,"EL CENTRO",92243,32.801111,-115.560764,1,rooftop,949,"N 8th St","El Centro",CA,"Imperial County",92243,US,"Imperial County",2018,06,06025,0621782,011500,4003,4,060250115004003,"El Centro, CA",20940,metropolitan,,,,
729,"1813 RIO VISTA",CA,SEELEY,92273,32.794328,-115.691476,0.9,range_interpolation,1813,"Rio Vista St",Seeley,CA,"Imperial County",92273,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0670798,011100,3009,3,060250111003009,"El Centro, CA",20940,metropolitan,,,,
730,"827 7TH STREET",CA,CALEXICO,92231,32.672046,-115.486641,0.8,range_interpolation,827,"E 7th St",Calexico,CA,"Imperial County",92231,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0609710,012002,1012,1,060250120021012,"El Centro, CA",20940,metropolitan,,,,
731,"585 WEST ORANGE AVENUE",CA,"EL CENTRO",92243,32.788515,-115.556648,1,rooftop,585,"W Orange Ave","El Centro",CA,"Imperial County",92243,US,"Imperial County",2018,06,06025,0621782,011600,2017,2,060250116002017,"El Centro, CA",20940,metropolitan,,,,
732,"109 WEST CALIFORNIA ST",CA,CALIPATRIA,92233,33.128757,-115.514691,1,rooftop,109,"W California St",Calipatria,CA,"Imperial County",92233,US,"Imperial County",2018,06,06025,0609878,010102,4017,4,060250101024017,"El Centro, CA",20940,metropolitan,,,,
733,"126 WEST CALIFORNIA ST",CA,CALIPATRIA,92233,33.129389,-115.515082,1,rooftop,126,"W California St",Calipatria,CA,"Imperial County",92233,US,"Imperial County",2018,06,06025,0609878,010102,4016,4,060250101024016,"El Centro, CA",20940,metropolitan,,,,
734,"300 NORTH PALM AVE",CA,BRAWLEY,92227,32.981275,-115.521744,1,rooftop,300,"N Palm Ave",Brawley,CA,"Imperial County",92227,US,"Imperial County",2018,06,06025,0608058,010400,1011,1,060250104001011,"El Centro, CA",20940,metropolitan,,,,
735,"179 SOUTHWIND DRIVE",CA,"EL CENTRO",92243,32.774521,-115.545895,1,rooftop,179,"Southwind Dr","El Centro",CA,"Imperial County",92243,US,"Imperial County",2018,06,06025,0621782,011700,1015,1,060250117001015,"El Centro, CA",20940,metropolitan,,,,
736,"1219 CENTER ST",CA,"SALTON CITY",92275,33.266848,-115.971816,1,range_interpolation,1219,"Center St","Salton City",CA,"Imperial County",92275,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0664294,012301,1187,1,060250123011187,"El Centro, CA",20940,metropolitan,,,,
737,"198 EAST 3RD STREET",CA,WESTMORLAND,92281,33.036228,-115.621002,1,range_interpolation,198,"E 3rd St",Westmorland,CA,"Imperial County",92281,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06025,0684606,010200,1206,1,060250102001206,"El Centro, CA",20940,metropolitan,,,,
738,"50 TU SU LANE",CA,BISHOP,93514,37.362525,-118.417458,1,rooftop,50,"Tu Su Ln",Bishop,CA,"Inyo County",93514,US,Inyo,2018,06,06027,0606798,000400,1030,1,060270004001030,,,,,,,
739,"800 W. ELM STREET",CA,BISHOP,93514,37.365186,-118.40531,1,rooftop,800,"W Elm St",Bishop,CA,"Inyo County",93514,US,Inyo,2018,06,06027,0606798,000400,2011,2,060270004002011,,,,,,,
740,"283 E. LOCUST ST",CA,"LONE PINE",93545,36.608611,-118.061774,1,rooftop,283,"E Locust St","Lone Pine",CA,"Inyo County",93545,US,Inyo,2018,06,06027,0642580,000800,3060,3,060270008003060,,,,,,,
741,"180 EAST CLARKE ST",CA,BISHOP,93514,37.359369,-118.393125,1,rooftop,180,"Clarke St",Bishop,CA,"Inyo County",93514,US,Inyo,2018,06,06027,0606798,000400,2054,2,060270004002054,,,,,,,
742,"1050 S RICHARDS ST",CA,"BIG PINE",93513,37.154865,-118.283046,1,rooftop,1050,"S Richards St","Big Pine",CA,"Inyo County",93513,US,Inyo,2018,06,06027,0606616,000500,2107,2,060270005002107,,,,,,,
743,"2574 DIAZ LANE",CA,BISHOP,93514,37.367882,-118.422308,1,rooftop,2574,"Diaz Ln",Bishop,CA,"Inyo County",93514,US,Inyo,2018,06,06027,0606798,000400,1015,1,060270004001015,,,,,,,
744,"1030 4TH ST",CA,BAKERSFIELD,93304,35.361256,-119.013687,1,rooftop,1030,4th,Bakersfield,CA,"Kern County",93304,US,"Kern County",2018,06,06029,0603526,002000,4037,4,060290020004037,"Bakersfield, CA",12540,metropolitan,,,,
745,"1501 HOOD STREET",CA,ARVIN,93203,35.203733,-118.840022,1,range_interpolation,1501,"Hood St",Arvin,CA,"Kern County",93203,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0602924,,,,,"Bakersfield, CA",12540,metropolitan,,,,
746,"911 EL CAMINO REAL RD",CA,ARVIN,93203,35.187453,-118.833822,0.7,nearest_rooftop_match,912,"El Camino Real",Arvin,CA,"Kern County",93203,US,"Kern County",2018,06,06029,0602924,006202,1339,1,060290062021339,"Bakersfield, CA",12540,metropolitan,,,,
747,"341 HAVEN DRIVE",CA,ARVIN,93203,35.204517,-118.827599,1,rooftop,341,"Haven Dr",Arvin,CA,"Kern County",93203,US,"Kern County",2018,06,06029,0602924,006304,1009,1,060290063041009,"Bakersfield, CA",12540,metropolitan,,,,
748,"300 FRANKLIN STREET",CA,ARVIN,93203,35.201662,-118.828401,0.6,street_center,,"Franklin St",Arvin,CA,"Kern County",93203,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0602924,006304,1016,1,060290063041016,"Bakersfield, CA",12540,metropolitan,,,,
749,"1600 EAST TRUXTUN AVE",CA,BAKERSFIELD,93305,35.373507,-118.979079,1,rooftop,1600,"E Truxtun",Bakersfield,CA,"Kern County",93305,US,"Kern County",2018,06,06029,0603526,001202,2023,2,060290012022023,"Bakersfield, CA",12540,metropolitan,,,,
750,"608 KENTUCKY",CA,BAKERSFIELD,93305,35.379374,-118.993177,1,rooftop,608,Kentucky,Bakersfield,CA,"Kern County",93305,US,"Kern County",2018,06,06029,0603526,001300,6010,6,060290013006010,"Bakersfield, CA",12540,metropolitan,,,,
751,"909 CASTRO LANE",CA,BAKERSFIELD,93304,35.346231,-119.035055,1,rooftop,909,Castro,Bakersfield,CA,"Kern County",93304,US,"Kern County",2018,06,06029,0603526,002700,5016,5,060290027005016,"Bakersfield, CA",12540,metropolitan,,,,
752,"2211 G STREET",CA,BAKERSFIELD,93301,35.379447,-119.022549,1,rooftop,2211,G,Bakersfield,CA,"Kern County",93301,US,"Kern County",2018,06,06029,0603526,001600,2044,2,060290016002044,"Bakersfield, CA",12540,metropolitan,,,,
753,"7001 AUBURN ST",CA,BAKERSFIELD,93306,35.397634,-118.918076,1,rooftop,7001,Auburn,Bakersfield,CA,"Kern County",93306,US,"Kern County",2018,06,06029,0603526,000910,4005,4,060290009104005,"Bakersfield, CA",12540,metropolitan,,,,
754,"942 WIBLE RD",CA,BAKERSFIELD,93304,35.345396,-119.037992,1,rooftop,942,"Wible Rd",Bakersfield,CA,"Kern County",93304,US,"City of Bakersfield",2018,06,06029,0603526,002700,5016,5,060290027005016,"Bakersfield, CA",12540,metropolitan,,,,
755,"5704 PIONEER DRIVE",CA,BAKERSFIELD,93306,35.369229,-118.9207,1,rooftop,5704,Pioneer,Bakersfield,CA,"Kern County",93306,US,"Kern County",2018,06,06029,0603526,001101,1004,1,060290011011004,"Bakersfield, CA",12540,metropolitan,,,,
756,"7998 ALICANTE AVE",CA,LAMONT,93241,35.262356,-118.916332,1,rooftop,7998,Alicante,Lamont,CA,"Kern County",93241,US,"Kern County",2018,06,06029,0640088,006403,2005,2,060290064032005,"Bakersfield, CA",12540,metropolitan,,,,
757,"929 BROADWAY AVE",CA,WASCO,93280,35.590902,-119.338349,1,range_interpolation,929,Broadway,Wasco,CA,"Kern County",93280,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0683542,004401,1018,1,060290044011018,"Bakersfield, CA",12540,metropolitan,,,,
758,"9124 CATALAPA AVE",CA,"CALIFORNIA CITY",93505,35.123092,-117.967956,1,range_interpolation,9124,"Catalpa Ave","California City",CA,"Kern County",93505,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0609780,005507,3095,3,060290055073095,"Bakersfield, CA",12540,metropolitan,,,,
759,"525 EAST CASA LOMA DRIVE",CA,BAKERSFIELD,93307,35.339311,-118.999862,1,range_interpolation,525,"E Casa Loma Dr",Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0603526,002500,3004,3,060290025003004,"Bakersfield, CA",12540,metropolitan,,,,
760,"1410 11TH STREET",CA,BAKERSFIELD,93304,35.367742,-119.017983,1,rooftop,1410,11th,Bakersfield,CA,"Kern County",93304,US,"Kern County",2018,06,06029,0603526,002000,4005,4,060290020004005,"Bakersfield, CA",12540,metropolitan,,,,
761,"1835 CECIL AVENUE",CA,DELANO,93215,35.776014,-119.230768,1,range_interpolation,1835,"Cecil Ave",Delano,CA,"Kern County",93215,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0618394,004902,5015,5,060290049025015,"Bakersfield, CA",12540,metropolitan,,,,
762,"1900 EAST CALIFORNIA",CA,BAKERSFIELD,93307,35.368926,-118.973797,1,rooftop,1900,"E California",Bakersfield,CA,"Kern County",93307,US,"Kern County",2018,06,06029,0603526,001500,3001,3,060290015003001,"Bakersfield, CA",12540,metropolitan,,,,
763,"1900 FAIRFAX",CA,BAKERSFIELD,93307,35.337915,-118.931863,0.9,range_interpolation,1900,"S Fairfax Rd",Bakersfield,CA,"Kern County",93307,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0603526,002400,1129,1,060290024001129,"Bakersfield, CA",12540,metropolitan,,,,
764,"425 E FAIRVIEW RD",CA,BAKERSFIELD,93307,35.302744,-118.994718,1,rooftop,425,"E Fairview",Bakersfield,CA,"Kern County",93307,US,"Kern County",2018,06,06029,0603526,003103,2011,2,060290031032011,"Bakersfield, CA",12540,metropolitan,,,,
765,"1900 FAITH AVENUE",CA,BAKERSFIELD,93304,35.307231,-119.024716,1,rooftop,1900,Faith,Bakersfield,CA,"Kern County",93304,US,"Kern County",2018,06,06029,0603526,003115,2005,2,060290031152005,"Bakersfield, CA",12540,metropolitan,,,,
766,"240O TRUXTON AVE",CA,BAKERSFIELD,93301,35.373435,-119.003994,1,range_interpolation,240,"Truxtun Ave",Bakersfield,CA,"Kern County",93301,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0603526,001600,1117,1,060290016001117,"Bakersfield, CA",12540,metropolitan,,,,
767,"2320 MT VERNON",CA,BAKERSFIELD,93306,35.388256,-118.968811,1,rooftop,2320,"Mt Vernon",Bakersfield,CA,"Kern County",93306,US,"Kern County",2018,06,06029,0603526,001201,1010,1,060290012011010,"Bakersfield, CA",12540,metropolitan,,,,
768,"10300 1/2 SAN DIEGO ST",CA,LAMONT,93241,35.26158,-118.91986,0.9,rooftop,10300,"San Diego",Lamont,CA,"Kern County",93241,US,"Kern County",2018,06,06029,0640088,006403,1001,1,060290064031001,"Bakersfield, CA",12540,metropolitan,,,,
769,"8201 PALM AVE",CA,LAMONT,93241,35.257736,-118.91346,1,range_interpolation,8201,"Palm Ave",Lamont,CA,"Kern County",93241,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0640088,006401,3003,3,060290064013003,"Bakersfield, CA",12540,metropolitan,,,,
770,"21109 PASO ROBLES HWY",CA,"LOST HILLS",93249,35.615875,-119.697362,1,range_interpolation,21109,"Paso Robles Hwy","Lost Hills",CA,"Kern County",93249,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0644280,004500,1044,1,060290045001044,"Bakersfield, CA",12540,metropolitan,,,,
771,"3811 RIVER BLVD",CA,BAKERSFIELD,93305,35.408057,-118.98484,1,rooftop,3811,"River Blvd",Bakersfield,CA,"Kern County",93305,US,"City of Bakersfield",2018,06,06029,0603526,000800,5005,5,060290008005005,"Bakersfield, CA",12540,metropolitan,,,,
772,"410 EAST PERKINS",CA,MCFARLAND,93250,35.681855,-119.222004,1,range_interpolation,410,"E Perkins Ave","Mc Farland",CA,"Kern County",93250,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0644826,004702,1001,1,060290047021001,"Bakersfield, CA",12540,metropolitan,,,,
773,"1940 INYO STREET",CA,MOJAVE,93501,35.052103,-118.165991,1,rooftop,1940,"Inyo St",Mojave,CA,"Kern County",93501,US,"Kern County",2018,06,06029,0648452,005900,2028,2,060290059002028,"Bakersfield, CA",12540,metropolitan,,,,
774,"1015 NOBLE",CA,BAKERSFIELD,93305,35.399178,-118.984571,1,rooftop,1015,Noble,Bakersfield,CA,"Kern County",93305,US,"Kern County",2018,06,06029,0603526,000800,3009,3,060290008003009,"Bakersfield, CA",12540,metropolitan,,,,
775,"814 NORTH NORMA STREET",CA,RIDGECREST,93555,35.636142,-117.678215,1,rooftop,814,"N Norma St",Ridgecrest,CA,"Kern County",93555,US,"Kern County",2018,06,06029,0660704,005402,1013,1,060290054021013,"Bakersfield, CA",12540,metropolitan,,,,
776,"127 EAST MINNER",CA,BAKERSFIELD,93308,35.418783,-119.021672,0.8,range_interpolation,127,"Minner Ave",Bakersfield,CA,"Kern County",93308,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0603526,000200,3013,3,060290002003013,"Bakersfield, CA",12540,metropolitan,,,,
777,"1000 PACIFIC STREET",CA,BAKERSFIELD,93305,35.383235,-118.98531,1,rooftop,1000,Pacific,Bakersfield,CA,"Kern County",93305,US,"Kern County",2018,06,06029,0603526,001300,3006,3,060290013003006,"Bakersfield, CA",12540,metropolitan,,,,
778,"1825 FELIZ DRIVE",CA,BAKERSFIELD,93307,35.349883,-118.980053,1,rooftop,1825,Feliz,Bakersfield,CA,"Kern County",93307,US,"Kern County",2018,06,06029,0603526,002400,1050,1,060290024001050,"Bakersfield, CA",12540,metropolitan,,,,
779,"4404 PIONEER DR",CA,BAKERSFIELD,93306,35.370046,-118.935043,1,rooftop,4404,Pioneer,Bakersfield,CA,"Kern County",93306,US,"Kern County",2018,06,06029,0603526,001102,1011,1,060290011021011,"Bakersfield, CA",12540,metropolitan,,,,
780,"2400 PLANZ",CA,BAKERSFIELD,93304,35.325254,-119.026577,1,rooftop,2400,Planz,Bakersfield,CA,"Kern County",93304,US,"Kern County",2018,06,06029,0603526,002900,2011,2,060290029002011,"Bakersfield, CA",12540,metropolitan,,,,
781,"1111 BUSH STREET",CA,ARVIN,93203,35.19977,-118.841261,0.6,street_center,,"Bush St",Arvin,CA,"Kern County",93203,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0602924,006303,2007,2,060290063032007,"Bakersfield, CA",12540,metropolitan,,,,
782,"1100 9TH. STREET",CA,BAKERSFIELD,93304,35.366015,-119.014457,1,rooftop,1100,9th,Bakersfield,CA,"Kern County",93304,US,"Kern County",2018,06,06029,0603526,002000,4014,4,060290020004014,"Bakersfield, CA",12540,metropolitan,,,,
783,"2324 VERDE STREET",CA,BAKERSFIELD,93304,35.357573,-119.028783,1,rooftop,2324,Verde,Bakersfield,CA,"Kern County",93304,US,"Kern County",2018,06,06029,0603526,001902,4015,4,060290019024015,"Bakersfield, CA",12540,metropolitan,,,,
784,"2584 FELISTE AVE",CA,ROSAMOND,93560,34.870721,-118.176977,1,rooftop,2584,"Felsite Ave",Rosamond,CA,"Kern County",93560,US,"Kern County",2018,06,06029,0662826,005801,1049,1,060290058011049,"Bakersfield, CA",12540,metropolitan,,,,
785,"2800 AGATE ST",CA,BAKERSFIELD,93304,35.329305,-119.03463,1,rooftop,2800,Agate,Bakersfield,CA,"Kern County",93304,US,"Kern County",2018,06,06029,0603526,002900,3000,3,060290029003000,"Bakersfield, CA",12540,metropolitan,,,,
786,"459 E. EUCLID",CA,SHAFTER,93263,35.497008,-119.269889,1,rooftop,459,"E Euclid Ave",Shafter,CA,"Kern County",93263,US,"Kern County",2018,06,06029,0671106,004102,1010,1,060290041021010,"Bakersfield, CA",12540,metropolitan,,,,
787,"452 LOS ANGELES ST",CA,SHAFTER,93263,35.492708,-119.2713,1,range_interpolation,452,"Los Angeles St",Shafter,CA,"Kern County",93263,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0671106,004102,1009,1,060290041021009,"Bakersfield, CA",12540,metropolitan,,,,
788,"3000 STERLING RD",CA,BAKERSFIELD,93306,35.380281,-118.941474,1,rooftop,3000,Sterling,Bakersfield,CA,"Kern County",93306,US,"Kern County",2018,06,06029,0603526,000906,2019,2,060290009062019,"Bakersfield, CA",12540,metropolitan,,,,
789,"315 STINE RD",CA,BAKERSFIELD,93309,35.349073,-119.048551,1,rooftop,315,Stine,Bakersfield,CA,"Kern County",93309,US,"Kern County",2018,06,06029,0603526,002812,2014,2,060290028122014,"Bakersfield, CA",12540,metropolitan,,,,
790,"1600 POPLAR AVENUE",CA,WASCO,93280,35.583862,-119.343747,1,rooftop,1600,"Poplar Ave",Wasco,CA,"Kern County",93280,US,"Kern County",2018,06,06029,0683542,004301,3022,3,060290043013022,"Bakersfield, CA",12540,metropolitan,,,,
791,"819 6TH STREET",CA,TAFT,93268,35.147016,-119.457933,1,range_interpolation,819,"6th St",Taft,CA,"Kern County",93268,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06029,0677574,003500,1003,1,060290035001003,"Bakersfield, CA",12540,metropolitan,,,,
